Image_Number,0_Dirt,1_Bush,2_Fence,3_Gravel,4_Water,5_Tree-trunk,6_Tree-Foliage,7_Other-object,8_Other-terrain,9_Rock,10_Ignore,11_Structure,12_Mud,13_Log,14_Grass,15_Background,16_Sky
148,0.162217659137577,,,,,0.5980647966949337,0.7882044985985314,,,,,,0.0,,0.7284570844686649,,0.19799726900318615
149,0.6936776491540516,,,,,0.28449127428383275,0.8841771828539314,0.4614506927465363,,,,,,0.3,0.8849618508491263,,0.7932232841007819
150,0.9214577442664154,,,,,0.703768296480847,0.8397150489759573,,,,,,,,0.7979385272541555,,0.24429065743944636
151,0.8558661778185152,,,,,0.6226321654079485,0.9182375738420439,,,0.0,,,0.0,0.2347560975609756,0.5731196054254007,,0.47950819672131145
152,0.9292929292929293,,,,,0.7159309021113244,0.8202213949360223,0.7752849430113977,,,,,,,0.4707390004271679,,0.5233127864706812
153,0.8506591744110655,,,,,0.47783572359843546,0.8488939229328957,,,,,,0.5284586622351475,,0.7979573346511819,,0.3778801843317972
154,0.8806712243629583,,,,,0.6614349775784754,0.8207495357899417,0.0,,,,,0.0,,0.7127963679165966,,0.29307282415630553
155,0.8979465270121278,,,,,0.6740326813986961,0.8546513468173329,0.6088777219430486,,,,,0.507274490785645,,0.7477605321507761,,0.5843325339728217
156,0.7007428940568475,,,,,0.6616766467065869,0.8074240590235748,,,,,,0.4591280653950954,,0.709059829059829,,0.7042775345234086
157,0.656737814590634,,,,,0.35290159798149706,0.8752946359731248,,,,,,0.11392405063291139,,0.7749475157452764,,0.6354895104895105
158,0.8929693343305909,,,,,0.3552153606642449,0.9177944553805775,,,,,,0.0,,0.49018920812894184,,0.5641025641025641
159,0.8615384615384616,,,,,0.3746259724715739,0.6460201180844085,0.000687757909215956,,,,,0.4302877015491622,,0.3749423520368947,,0.4898236092265943
160,0.0,,0.9107886285238491,,,0.6822987933822615,0.823402512288367,,,,,,0.8166397415185783,,0.7408024612229201,,0.4028906955736224
161,0.7678508617657405,,,,,0.5084754416419892,0.7023788678490132,0.013266118333775537,,,,,,,0.32084745762711864,,0.0
162,0.8766630708378281,,0.6434034416826003,,,0.7282653312535916,0.8583647347329386,0.0,,,,,0.038202247191011236,0.0,0.39080052027905876,,0.6528136806522171
163,0.7804370447450573,,,,,0.23152173913043478,0.8985353802717487,,,,,,,0.32294617563739375,0.9185169669040637,,0.9563873974268058
164,0.0,,,,,0.6539591237302655,0.7965482156988356,0.8470582495853254,,,,,0.6434894872740686,,0.6421167484997272,,0.4835164835164835
165,0.20534550195567144,,,,,0.43039800038454146,0.8010122060136946,0.6127162977867203,,,,,0.0,,0.004519044544867657,,0.11506849315068493
166,0.8506210679141797,,,,,0.5228379078197825,0.8006694560669456,0.11993651231799048,,,,,,,0.19567684103029614,,0.6519886363636364
167,0.6126806124649558,,,,,0.24815905743740796,0.9192749853150961,,,0.4076923076923077,,,0.0,0.27671232876712326,0.9150433982640694,,0.9357409889257248
168,0.0,,,,,0.6958239005828236,0.8277956488614239,,,,,,,,0.768157146549496,,0.26476190476190475
169,0.7766272189349113,,,,,0.39993014320642684,0.9315765990393953,0.8663336052202284,,,,,,,0.37861429350791054,,0.8118530020703933
170,0.6275151708719259,,,,,0.6070273448985593,0.7573063633746041,,,,,,0.11406351263771873,,0.6763864139532372,,0.6871794871794872
171,0.8668478260869565,,,0.5546218487394958,,0.3642105263157895,0.9560379918588874,,,0.0,,,,0.0,0.9309269457899276,,0.976404248330231
172,0.9758829432520799,,,,,0.4443480774790402,0.9041219885809776,,,,,,0.0,0.4718498659517426,0.7411186696900982,,0.39097744360902253
173,0.8926500635043348,,,,,0.5316153662610356,0.8688302073050346,0.6930569713444331,,,,,0.0,,0.365016501650165,,0.0
174,0.9419651500484028,,,,,0.7641060046964105,0.8740798010017143,,,,,,0.0,,0.7012171181782489,,0.0
175,0.8785308536300677,,,,,0.5984451848326194,0.8229989468141127,,,,,,0.0,,0.8193323432556338,,0.8503166378814048
176,0.9681861348528015,,,,,0.6132019704433498,0.8072539317900689,,,,,,0.4021164021164021,,0.6547364964702019,,0.45098039215686275
177,0.8605609253684043,,,,,0.7205923969436846,0.8382732433827325,0.0,,,,,,,0.8361359755782066,,0.4218551461245235
178,0.912464159217406,,,,,0.3121057374586963,0.8659213899174024,,,0.37453183520599254,,,,0.1951219512195122,0.8957697918048004,,0.9584625428431532
179,0.8401976935749588,,,0.0,,0.07776049766718507,0.9096594559862926,,,0.18536585365853658,,,,0.12546125461254612,0.9426850592578201,,0.9360944830933506
180,0.8368721508070147,,0.0,,,0.5594355758266819,0.8395435072182021,0.0,,,,0.4568403908794788,0.2237960339943343,0.0,0.6249398942138163,,0.24719101123595505
181,0.24868766404199474,,,,,0.34227642276422765,0.8410321341250436,0.0,,0.15731292517006804,,,,0.08552631578947369,0.9389973614775725,,0.9054361382143643
182,0.8114260856956427,,,,,0.5920655034603762,0.8492311925974338,0.0,,0.0,,0.0,0.3786698621929299,0.0,0.746954076850984,,0.8701983429575697
183,0.36600496277915634,,,,,0.48913393432066965,0.8818921982891889,,,,,,,,0.0,,0.5505882352941176
184,0.8562060889929742,,,,,0.3645191409897292,0.8696937836772244,,,,,,,0.0,0.9400276601986505,,0.9652746255106672
185,0.8615351766841037,,,,,0.5502108742733387,0.8698032131811588,0.0,,,,,0.5515873015873016,,0.8319049108539256,,0.6529801324503312
